age,sex,education,race,hispanic,enrolled,full_time,school_level,labor_status,weight,usual_hours,female,race_group,employed,college_enrolled
18,1,39,4,1,0,-1,NA,1,38076686,40,0,Asian,1,0
21,1,39,4,1,0,-1,NA,1,37234912,40,0,Asian,1,0
19,2,37,4,1,0,-1,NA,1,45963143,40,1,Asian,1,0
22,2,44,4,0,1,1,College,1,33527733,16,1,Asian,1,1
19,2,40,1,0,1,1,College,7,32094448,NA,1,White,0,1
23,1,40,2,0,0,-1,NA,1,32013030,NA,0,Black,1,0
18,1,36,4,0,1,1,High school,7,40912790,NA,0,Asian,0,0
19,2,40,1,0,1,1,College,7,53480163,NA,1,White,0,1
22,2,43,1,0,1,1,College,7,60417467,NA,1,White,0,1
22,1,39,1,0,1,2,College,1,61335033,42,0,White,1,1
18,2,40,1,0,1,1,College,1,78979328,20,1,White,1,1
23,1,40,1,1,0,-1,NA,1,40117137,40,0,White,1,0
22,2,40,1,0,0,-1,NA,1,57231122,40,1,White,1,0
18,1,38,1,0,1,1,High school,7,55200787,NA,0,White,0,0
20,1,40,1,0,1,1,College,7,55058870,NA,0,White,0,1
23,2,44,1,0,1,1,College,7,52899531,NA,1,White,0,1
18,2,39,1,0,1,1,College,7,59436948,NA,1,White,0,1
21,2,40,1,1,1,1,College,1,42499371,15,1,White,1,1
24,1,39,2,0,0,-1,NA,1,35063082,40,0,Black,1,0
19,1,35,2,0,0,-1,NA,4,43548956,NA,0,Black,0,0
18,2,34,3,0,1,1,High school,7,82926679,NA,1,Other,0,0
19,1,38,3,0,1,1,High school,6,60535004,NA,0,Other,0,0
24,2,40,2,0,1,1,College,1,57154343,20,1,Black,1,1
22,2,43,2,0,0,-1,NA,1,57154343,40,1,Black,1,0
20,2,40,1,0,1,1,College,1,50993570,16,1,White,1,1
20,2,40,1,1,1,1,College,1,50486879,16,1,White,1,1
20,2,40,4,0,1,1,College,1,47968671,20,1,Asian,1,1
20,2,40,1,0,1,1,College,2,50993570,NA,1,White,1,1
18,2,38,2,0,1,1,High school,7,28199090,NA,1,Black,0,0
23,2,42,2,0,0,-1,NA,1,22579305,40,1,Black,1,0
20,2,40,1,0,1,1,College,7,14187210,NA,1,White,0,1
24,2,39,1,0,0,-1,NA,7,15254555,NA,1,White,0,0
21,2,41,1,0,1,1,College,7,40620886,NA,1,White,0,1
21,2,37,1,0,1,1,High school,7,40620886,NA,1,White,0,0
23,2,38,1,1,0,-1,NA,1,51949085,50,1,White,1,0
22,1,39,1,0,0,-1,NA,1,57233369,40,0,White,1,0
20,1,39,4,0,0,-1,NA,1,6391284,40,0,Asian,1,0
18,2,39,1,0,0,-1,NA,1,9774834,25,1,White,1,0
23,2,40,1,0,1,1,College,7,9936088,NA,1,White,0,1
21,2,42,1,0,1,2,College,1,9942849,40,1,White,1,1
23,1,40,1,0,1,1,College,7,8701875,NA,0,White,0,1
24,1,42,1,0,0,-1,NA,1,9792409,40,0,White,1,0
20,2,40,1,0,0,-1,NA,1,18000494,37,1,White,1,0
21,1,39,1,1,0,-1,NA,1,14897884,40,0,White,1,0
20,2,39,1,0,0,-1,NA,1,18000494,37,1,White,1,0
19,1,39,1,0,0,-1,NA,1,16065867,50,0,White,1,0
24,1,42,1,1,0,-1,NA,1,14841807,60,0,White,1,0
22,2,40,4,0,1,2,College,1,13415792,35,1,Asian,1,1
23,2,43,1,0,0,-1,NA,1,12766209,35,1,White,1,0
19,2,42,1,0,1,1,College,7,24888262,NA,1,White,0,1
21,2,39,1,0,1,1,College,7,25291925,NA,1,White,0,1
21,2,40,4,0,1,1,College,1,20482146,20,1,Asian,1,1
19,1,37,1,0,0,-1,NA,4,21176663,NA,0,White,0,0
22,1,39,1,1,0,-1,NA,1,19837335,40,0,White,1,0
19,2,40,1,1,1,1,College,1,21792992,22,1,White,1,1
18,1,39,1,1,0,-1,NA,7,24791103,NA,0,White,0,0
21,1,39,2,1,0,-1,NA,1,24483139,60,0,Black,1,0
20,1,35,2,1,0,-1,NA,1,24483139,48,0,Black,1,0
20,1,39,1,1,1,1,College,1,20821809,NA,0,White,1,1
22,2,39,1,1,1,1,College,1,24746709,40,1,White,1,1
19,2,39,1,0,1,1,College,7,11748121,NA,1,White,0,1
23,2,43,1,0,0,-1,NA,1,13429868,40,1,White,1,0
23,2,44,1,1,1,1,College,1,11405075,NA,1,White,1,1
22,2,43,1,0,0,-1,NA,1,13429868,NA,1,White,1,0
24,2,43,4,0,0,-1,NA,4,47329987,NA,1,Asian,0,0
24,1,39,2,0,0,-1,NA,1,38360916,40,0,Black,1,0
22,1,40,1,1,1,1,College,7,10515891,NA,0,White,0,1
22,1,40,1,0,1,1,College,7,12400837,NA,0,White,0,1
23,2,43,1,0,1,1,College,7,17581961,NA,1,White,0,1
23,1,43,1,0,1,1,College,7,20453010,NA,0,White,0,1
23,2,44,3,0,1,1,College,1,22777118,35,1,Other,1,1
20,2,40,1,1,1,1,College,1,13351724,21,1,White,1,1
18,1,40,1,1,1,1,College,7,11753105,NA,0,White,0,1
22,2,40,1,1,1,1,College,1,14377183,25,1,White,1,1
20,1,39,1,1,1,1,College,1,14858064,25,0,White,1,1
18,2,38,1,1,0,-1,NA,7,15149329,NA,1,White,0,0
23,1,43,4,0,0,-1,NA,1,52725131,45,0,Asian,1,0
18,1,39,1,0,0,-1,NA,1,61133730,40,0,White,1,0
24,2,39,1,0,0,-1,NA,1,49471428,30,1,White,1,0
24,2,43,2,0,1,2,College,1,69253949,30,1,Black,1,1
23,2,38,2,0,0,-1,NA,1,77619407,28,1,Black,1,0
22,2,38,2,0,1,1,High school,7,77619407,NA,1,Black,0,0
22,2,33,2,0,1,1,High school,7,77619407,NA,1,Black,0,0
19,1,39,1,0,0,-1,NA,7,51777936,NA,0,White,0,0
19,1,39,1,0,0,-1,NA,7,60416391,NA,0,White,0,0
21,1,41,1,0,1,1,College,1,53852451,10,0,White,1,1
18,1,39,2,0,0,-1,NA,7,67986899,NA,0,Black,0,0
23,2,40,2,0,1,1,College,7,50855252,NA,1,Black,0,1
22,2,40,4,0,1,2,College,7,37123740,NA,1,Asian,0,1
21,2,40,1,0,1,1,College,1,64879532,17,1,White,1,1
18,1,37,1,1,1,1,High school,7,68611689,NA,0,White,0,0
22,1,40,1,0,1,2,College,7,57201631,NA,0,White,0,1
20,1,40,1,0,1,1,College,7,57201631,NA,0,White,0,1
20,1,39,1,0,1,1,College,7,57201631,NA,0,White,0,1
20,2,40,1,0,1,1,College,7,47272300,NA,1,White,0,1
21,1,39,2,0,0,-1,NA,7,35105364,NA,0,Black,0,0
19,1,39,2,0,0,-1,NA,1,51124180,35,0,Black,1,0
22,1,39,1,0,0,-1,NA,4,60731102,NA,0,White,0,0
23,1,39,1,0,0,-1,NA,1,53287265,40,0,White,1,0
23,2,36,1,0,0,-1,NA,1,69470228,40,1,White,1,0
20,1,39,1,1,1,1,College,7,58742757,NA,0,White,0,1
24,2,43,1,0,0,-1,NA,1,68882746,40,1,White,1,0
24,1,41,1,0,0,-1,NA,1,46264205,40,0,White,1,0
22,2,39,2,0,0,-1,NA,1,76073246,20,1,Black,1,0
19,2,40,2,0,1,1,College,7,72872768,NA,1,Black,0,1
18,1,40,1,0,1,1,College,7,46236568,NA,0,White,0,1
18,2,39,1,1,1,1,College,1,64409109,40,1,White,1,1
23,1,39,1,0,1,2,College,7,40667859,NA,0,White,0,1
21,2,39,1,1,0,-1,NA,1,40335347,40,1,White,1,0
24,1,42,1,1,0,-1,NA,1,35859965,40,0,White,1,0
19,1,34,1,0,0,-1,NA,4,48661359,NA,0,White,0,0
19,1,34,1,1,0,-1,NA,4,52276778,NA,0,White,0,0
19,2,39,1,1,0,-1,NA,1,38158737,20,1,White,1,0
19,1,39,1,1,0,-1,NA,7,35186533,NA,0,White,0,0
21,2,43,1,0,1,1,College,1,49373541,40,1,White,1,1
22,2,39,1,1,0,-1,NA,1,37726485,20,1,White,1,0
20,1,39,1,1,0,-1,NA,1,33654663,20,0,White,1,0
20,1,40,1,0,1,1,College,7,48655998,NA,0,White,0,1
20,1,40,2,0,0,-1,NA,1,62765583,NA,0,Black,1,0
21,2,40,1,0,1,1,College,7,6098629,NA,1,White,0,1
18,1,39,1,0,0,-1,NA,1,7382510,24,0,White,1,0
20,2,40,1,0,1,1,College,1,6475375,20,1,White,1,1
23,1,39,2,1,0,-1,NA,1,10634338,40,0,Black,1,0
22,2,39,2,1,0,-1,NA,7,8556944,NA,1,Black,0,0
20,2,39,1,0,0,-1,NA,1,8849157,40,1,White,1,0
21,1,39,1,0,0,-1,NA,1,6411202,NA,0,White,1,0
19,2,39,1,0,0,-1,NA,1,6207023,35,1,White,1,0
18,2,37,1,0,1,1,High school,7,54407710,NA,1,White,0,0
19,1,40,1,0,1,1,College,7,45081961,NA,0,White,0,1
18,1,38,2,0,1,1,High school,7,99108545,NA,0,Black,0,0
